,linewidth,markersize,titlesize,labelsize,ticklabelsize,legendsize,fontfamily,fontname,colwidth
pub-jog,1,3,9,9,9,9,serif,optima,3.34
pub-cryo,1,2,9,9,9,9,sans-serif,DejaVu Sans,3.15
poster,3,10,18,16,12,12,sans-serif,DejaVu Sans,6
powerpoint,2,6,32,28,20,20,sans-serif,Franklin Gothic Book,6
