,Inngia Isbrae,Umiammakku Isbrae,Rink Isbrae,Kangerlussuup Se.,Kangerluarsuup Se.,Perlerfiup Se.,Sermeq Silarleq,Kangilleq,Sermilik,Lille Gl.,Store Gl.,Sermeq Avannarleq,Sermeq Kujalleq,Kangilernata Se.,Eqip Se.,Sermeq Avannarleq,Jakobshavn Isbrae,Alangorliup Se.,Saqqarliup Se.,Savissuaq Gl. WWWW,Savissuaq Gl. WWW,Savissuaq Gl. WW,Savissuaq Gl. W,Savissuaq Gl.,Helland Gl. W,Helland Gl.,Helland Gl. E,Yngvar Nielsen Gl. W,Yngvar Nielsen Gl.,Mohn Gl.,Carlos Gl. W,Carlos Gl.,Gade Gl.,Morell Gl. W,Morell Gl.,Docker Smith Gl. W,Docker Smith Gl.,Docker Smith Gl. E,Rink Gl. W,Rink Gl.,Rink Gl. S,Issuusarsuit Se.,Kong Oscar Gl. NN,Kong Oscar Gl. N,Kong Oscar Gl.,Nordenskiold Gl. N,Nordenskiold Gl.,Nansen Gl.,Nansen Gl. S,Sverdrup Gl.,Dietrichson Gl.,Steenstrup Gl.,Kjer Gl. N,Kjer Gl.,Hayes Gl. North,Hayes Gl.,Hayes Gl. NN,Hayes Gl. N,Hayes Gl. M,Hayes Gl. SS,Alison Gl.,Illullip Se.,Cornell Gl. N,Cornell Gl.,Ussing Br. N,Ussing Br.,Qeqertarsuup Se.,Kakivfaat Se.,Nunatakassaap Se.,Akullikassaap Se. W,Akullikassaap Se.,Akullikassaap Se. E,Upernavik Isstrom NW,Upernavik Isstrom N,Upernavik Isstrom C,Upernavik Isstrom S,Upernavik Isstrom SS,Dodge Gl.,Storm Gl.,Diebitsch Gl.,Morris Jesup Gl.,Verhoeff Gl.,Bowdoin Gl.,Hubbard Gl.,Hart Gl.,Sharp Gl.,Melville Gl.,Farquhar Gl.,Tracy Gl.,Heilprin Gl.,Leidy Gl.,Harald Moltke Br.
Categorization,DW,DW,CR,CR,SC,DW,DW,SC,SC,DW,CR,CR,CR,DW,SC,NC,FE,NC,SC,DW,DW,NC,CR,DW,NC,NC,DW,DW,DW,SC,NC,DW,CR,DW,NC,DW,DW,DW,SC,DW,CR,DW,DW,DW,DW,SC,DW,DW,CR,DW,DW,DW,DW,SR,DW,DW,DW,DW,DW,DW,FE,CR,DW,CR,CR,CR,DW,DW,CR,SC,CR,DW,DW,DW,DW,CR,SR,NC,NC,NC,NC,NC,DW,NC,NC,NC,NC,SC,DW,DW,NC,DW
Ocean Model Sample Area,CW1,CW1,CW1,CW1,CW1,CW1,CW1,CW2,CW1,CW1,CW1,CW2,CW1,CW2,CW2,CW2,CW2,CW2,CW2,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW1,NW2,NW2,NW2,NW2,NW2,NW2,NW2,NW2,NW2,NW2,NW2,NW2,NW3,NW3,NW3,NW3,NW3,NW3,NW3,NW3,NW3,NW3,NW3,NW3,NW3,NW4,NW4,NW4,NW4,NW4,NW4,NW4,NW4,NW4,NW4,NW4,NW4,NW4,NW4,NW4,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1
1992-2017,2.54,3.78,4.61,3.3,2.01,2.89,3.94,3.51,2.93,3.02,3.86,4.02,4.16,4.34,4.42,3.07,5.18,2.59,3.86,1.62,1.71,2.22,2.51,3.4,-1.43,1.76,2.04,2.47,2.98,1.86,-1.66,3.14,3.24,2.14,2.42,3.45,3.7,2.24,1.83,3.02,2.75,3.81,3.31,2.29,4.16,2.02,3.09,3.07,2.44,3.61,2.95,2.72,2.58,2.6,2.66,3.05,3.81,2.99,3.46,3.12,3.69,3.37,2.8,3.09,3.15,3.11,3.32,3.67,3.06,2.59,3.48,3.07,4.22,3.94,3.98,3.84,3.09,0.26,0.06,0.36,0.5,0.09,0.94,0.1,0.68,2.07,0.2,1.46,1.44,1.61,0.52,0.42
1992-1997,2.16,2.18,3.77,1.92,1.78,2.26,2.61,3.13,3.07,2.74,2.52,2.77,2.53,3.53,4.69,3.63,3.62,2.7,3.85,0.86,0.76,1.35,1.32,1.98,-1.6,1.34,1.56,2.03,1.75,1.91,-1.49,2.37,1.82,1.28,1.86,1.86,2.65,1.66,1.68,2.19,1.31,2.77,2.16,1.4,3.25,1.81,1.73,1.64,1.51,2.65,1.61,1.39,1.56,1.43,1.33,1.91,3.61,1.66,2.46,2.31,3.86,2.17,2.33,1.85,1.76,1.77,2.08,2.53,1.93,2.61,2.77,2.65,3.88,3.06,3.21,2.78,1.98,NaN,0,0.79,0.59,0,0.28,0.08,0.77,1.85,0.03,0.65,0.36,0.51,0.16,0.16
1998-2007,3.16,4.06,4.63,3.75,1.93,2.95,4.15,3.57,2.87,2.98,4.2,4.18,4.33,4.27,4.67,3.59,5.19,2.94,4.06,1.7,1.87,2.43,2.73,3.9,-1.51,1.94,2.22,2.63,3.26,2.03,-1.58,3.54,3.48,1.86,2.71,3.68,3.9,2.38,2.05,3.52,2.92,3.98,3.65,2.36,4.28,2.19,3.44,3.35,2.61,3.8,3.22,2.81,2.82,2.9,2.79,3.23,3.77,3.31,3.61,3.57,3.49,3.55,2.9,3.44,3.54,3.48,3.76,3.93,3.4,2.67,3.34,3.02,4.82,4.12,4.12,4.2,3.03,0,0,0.03,0.62,0,1.25,0.24,0.64,2.37,0.14,1.62,1.56,1.93,0.66,0.62
2008-2017,2.1,4.39,5.04,3.57,2.2,3.16,4.5,3.6,2.94,3.21,4.23,4.46,4.8,4.79,3.94,2.16,6.05,2.18,3.61,1.98,2.05,2.45,2.92,3.62,-1.09,1.79,2.09,2.53,3.33,1.68,-1.79,3.11,3.77,2.94,2.42,4.08,4.08,2.39,1.65,2.97,3.33,4.21,3.56,2.74,4.57,1.92,3.45,3.54,2.73,3.93,3.4,3.3,2.86,2.89,3.21,3.46,3.96,3.39,3.83,3.06,3.8,3.82,2.92,3.36,3.47,3.42,3.47,4.01,3.27,2.49,3.92,3.36,3.75,4.23,4.23,4.01,3.71,0.5,0.14,0.49,0.37,0.24,0.95,-0.01,0.68,1.92,0.45,1.74,1.87,1.92,0.57,0.36
